epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.8157,0.9517,2.04921,1.14629,0.88471,0.78254,0.83031,0.6579,0.73307,0.97157,0.96077,0.000467346,0.000467346,0.000467346
2,126.183,0.9448,1.17903,1.10012,0.55452,0.62607,0.60479,0.42218,1.03552,2.14685,1.16558,0.000912538,0.000912538,0.000912538
3,187.246,1.01476,1.13046,1.14121,0.59323,0.61138,0.62219,0.42399,1.10744,2.41358,1.28104,0.00132629,0.00132629,0.00132629
4,249.794,0.98919,1.01431,1.16481,0.68175,0.69345,0.70442,0.48387,1.04881,1.41318,1.25223,0.00128753,0.00128753,0.00128753
5,311.015,0.94362,0.9447,1.11789,0.79923,0.5812,0.68133,0.53171,0.98817,1.36645,1.15327,0.00124037,0.00124037,0.00124037
6,373.57,0.9301,0.87879,1.10753,0.62871,0.67437,0.60629,0.4501,0.96247,3.8709,1.19152,0.00119322,0.00119322,0.00119322
7,435.304,0.88278,0.8272,1.10212,0.91509,0.81976,0.88521,0.71727,0.71738,0.71756,1.0131,0.00114606,0.00114606,0.00114606
8,497.894,0.86051,0.7731,1.07711,0.90539,0.84207,0.87946,0.72741,0.743,0.70307,1.01276,0.0010989,0.0010989,0.0010989
9,562.176,0.82611,0.7405,1.05225,0.94097,0.81259,0.88742,0.72777,0.71531,0.65086,1.00171,0.00105174,0.00105174,0.00105174
10,623.87,0.8147,0.72296,1.05722,0.94586,0.81836,0.89937,0.74778,0.65638,0.62705,0.96123,0.00100459,0.00100459,0.00100459
11,686.55,0.77291,0.68473,1.02525,0.93951,0.81043,0.89449,0.75494,0.63936,0.62601,0.96773,0.00095743,0.00095743,0.00095743
12,751.06,0.7443,0.63818,1.01902,0.96831,0.84463,0.92073,0.78141,0.61492,0.5721,0.95709,0.000910273,0.000910273,0.000910273
13,813.263,0.7007,0.62008,0.99489,0.91992,0.84863,0.90734,0.77314,0.59717,0.57971,0.93961,0.000863116,0.000863116,0.000863116
14,874.475,0.69754,0.59778,0.98556,0.96988,0.84859,0.92241,0.78968,0.59952,0.53824,0.92049,0.000815959,0.000815959,0.000815959
15,937.805,0.70467,0.60266,0.99021,0.95893,0.84207,0.91589,0.79794,0.56425,0.52819,0.91214,0.000768802,0.000768802,0.000768802
16,1000.52,0.66014,0.54592,0.97723,0.96195,0.89239,0.92902,0.80987,0.56484,0.47368,0.8964,0.000721645,0.000721645,0.000721645
17,1063.8,0.66121,0.55421,0.97163,0.97169,0.84702,0.92392,0.82103,0.52245,0.50993,0.8992,0.000674488,0.000674488,0.000674488
18,1126.85,0.63571,0.52278,0.96326,0.95127,0.84821,0.91525,0.80434,0.53925,0.53509,0.91155,0.000627331,0.000627331,0.000627331
19,1187.29,0.62047,0.51172,0.96619,0.96069,0.89015,0.93262,0.83454,0.51507,0.46173,0.88861,0.000580174,0.000580174,0.000580174
20,1252.49,0.60896,0.51174,0.96205,0.95574,0.89521,0.92677,0.82744,0.49092,0.46066,0.87389,0.000533017,0.000533017,0.000533017
21,1317.13,0.5032,0.45813,0.87317,0.93241,0.88707,0.92422,0.81976,0.50417,0.4644,0.87815,0.00048586,0.00048586,0.00048586
22,1378.27,0.47982,0.40304,0.8623,0.95961,0.88475,0.92955,0.83859,0.48893,0.4559,0.88274,0.000438703,0.000438703,0.000438703
23,1441.44,0.46469,0.38592,0.85445,0.96932,0.88579,0.93033,0.83812,0.49243,0.45479,0.88311,0.000391546,0.000391546,0.000391546
24,1501.98,0.4685,0.37673,0.86421,0.9876,0.87756,0.93124,0.84924,0.47532,0.43378,0.87532,0.000344389,0.000344389,0.000344389
25,1566.49,0.44454,0.34844,0.84063,0.98358,0.90767,0.9389,0.86146,0.44349,0.41689,0.86262,0.000297232,0.000297232,0.000297232
26,1627.59,0.42268,0.33604,0.84335,0.98957,0.89089,0.9383,0.86278,0.43538,0.40781,0.85643,0.000250075,0.000250075,0.000250075
27,1690.17,0.4036,0.33026,0.83258,0.9888,0.89241,0.93812,0.8656,0.42479,0.40719,0.85576,0.000202918,0.000202918,0.000202918
28,1753.05,0.40112,0.31323,0.84173,0.96876,0.91602,0.9421,0.87114,0.41983,0.36298,0.85673,0.000155761,0.000155761,0.000155761
29,1815.4,0.37196,0.30095,0.81722,0.97749,0.91458,0.94112,0.88068,0.40283,0.36566,0.85251,0.000108604,0.000108604,0.000108604
30,1877.33,0.37041,0.29534,0.82634,0.98276,0.91409,0.94359,0.8831,0.39869,0.35206,0.85255,6.1447e-05,6.1447e-05,6.1447e-05
